สัญลักษณ์,ชื่อบริษัท,วันปิดสมุดทะเบียน,อันดับ,ชื่อผู้ถือหุ้น,จำนวนหุ้น,ร้อยละ (%)
TCAP,ทุนธนชาต,2026-04-17,1,บริษัท เอ็ม บี เค จำกัด (มหาชน),261102300,24.9
TCAP,ทุนธนชาต,2026-04-17,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,84232594,8.03
TCAP,ทุนธนชาต,2026-04-17,3,นาย สมชาย ลิ้มถิรคุณ,26700000,2.55
TCAP,ทุนธนชาต,2026-04-17,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,25502700,2.43
TCAP,ทุนธนชาต,2026-04-17,5,DBS BANK LTD. AC DBS NOMINEES-PB CLIENTS,20402341,1.95
TIDLOR,ไทยลดล (Tidlor Holdings),2026-03-13,1,ธนาคาร กรุงศรีอยุธยา จำกัด (มหาชน),1346993454,46.51
TIDLOR,ไทยลดล (Tidlor Holdings),2026-03-13,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,190098421,6.56
TIDLOR,ไทยลดล (Tidlor Holdings),2026-03-13,3,กองทุนรวม วายุภักษ์หนึ่ง,98103266,3.39
TIDLOR,ไทยลดล (Tidlor Holdings),2026-03-13,4,9 BASIL PTE. LTD.,89237069,3.08
TIDLOR,ไทยลดล (Tidlor Holdings),2026-03-13,5,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,58750051,2.03
TISCO,ทิสโก้ไฟแนนเชียลกรุ๊ป,2026-04-30,1,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,95723474,11.96
TISCO,ทิสโก้ไฟแนนเชียลกรุ๊ป,2026-04-30,2,CDIB & PARTNERS INVESTMENT HOLDING PTE.LTD.,80065320,10
TISCO,ทิสโก้ไฟแนนเชียลกรุ๊ป,2026-04-30,3,TOKYO CENTURY CORPORATION,39482767,4.93
TISCO,ทิสโก้ไฟแนนเชียลกรุ๊ป,2026-04-30,4,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,26233695,3.28
TISCO,ทิสโก้ไฟแนนเชียลกรุ๊ป,2026-04-30,5,บริษัท ทุนธนชาต จำกัด (มหาชน),13480000,1.68
TLI,ไทยประกันชีวิต,2026-05-08,1,บริษัท วี.ซี.สมบัติ จำกัด,5818273600,50.81
TLI,ไทยประกันชีวิต,2026-05-08,2,N.C.B.TRUST LIMITED-CBNA LDN MEIJI YASUDA LIFE G-A 091,1946500000,17
TLI,ไทยประกันชีวิต,2026-05-08,3,HER SING (H.K.) LIMITED,641156000,5.6
TLI,ไทยประกันชีวิต,2026-05-08,4,BNP PARIBAS SINGAPORE BRANCH,221000000,1.93
TLI,ไทยประกันชีวิต,2026-05-08,5,กองทุนรวม วายุภักษ์หนึ่ง,202764900,1.77
TOP,ไทยออยล์,2026-02-26,1,บริษัท ปตท. จำกัด (มหาชน),1005920239,45.03
TOP,ไทยออยล์,2026-02-26,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,257207519,11.51
TOP,ไทยออยล์,2026-02-26,3,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,75253279,3.37
TOP,ไทยออยล์,2026-02-26,4,บริษัท สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,66400499,2.97
TOP,ไทยออยล์,2026-02-26,5,THE BANK OF NEW YORK MELLON,46697567,2.09
TRUE,ทรู คอร์ปอเรชั่น,2026-05-21,1,บริษัท อไรซ์ ดิจิทัล เทคโนโลยี จำกัด,8620749150,24.95
TRUE,ทรู คอร์ปอเรชั่น,2026-05-21,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,4100453519,11.87
TRUE,ทรู คอร์ปอเรชั่น,2026-05-21,3,บริษัท ซีพีเอช เทลโค จำกัด,3694389485,10.69
TRUE,ทรู คอร์ปอเรชั่น,2026-05-21,4,บริษัท เครือเจริญโภคภัณฑ์ จำกัด,3122977035,9.04
TRUE,ทรู คอร์ปอเรชั่น,2026-05-21,5,CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED,2698330341,7.81
TTB,ทีเอ็มบีธนชาต,2026-04-28,1,บริษัท ทุนธนชาต จำกัด (มหาชน),23782833043,24.37
TTB,ทีเอ็มบีธนชาต,2026-04-28,2,ING BANK N.V.,21164759420,21.69
TTB,ทีเอ็มบีธนชาต,2026-04-28,3,กระทรวงการคลัง,11364282005,11.65
TTB,ทีเอ็มบีธนชาต,2026-04-28,4,ธนาคาร ทหารไทยธนชาต จำกัด (มหาชน),5783412207,5.93
TTB,ทีเอ็มบีธนชาต,2026-04-28,5,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,5546218537,5.68
TU,ไทยยูเนี่ยน กรุ๊ป,2026-03-04,1,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน),400038900,9.4
TU,ไทยยูเนี่ยน กรุ๊ป,2026-03-04,2,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,368387098,8.66
TU,ไทยยูเนี่ยน กรุ๊ป,2026-03-04,3,นาย ธีรพงศ์ จันศิริ,244068864,5.74
TU,ไทยยูเนี่ยน กรุ๊ป,2026-03-04,4,"MITSUBISHI UFJ MORGAN STANLEY SECURITIES CO.,LTD.",238745120,5.61
TU,ไทยยูเนี่ยน กรุ๊ป,2026-03-04,5,นาย เชง นิรุตตินานนท์,200442084,4.71
WHA,ดับบลิวเอชเอ คอร์ปอเรชั่น,2026-05-12,1,น.ส. จรีพร จารุกรสกุล,3510268969,23.49
WHA,ดับบลิวเอชเอ คอร์ปอเรชั่น,2026-05-12,2,น.ส. ชัชชมนต์ อนันตประยูร,1355486105,9.07
WHA,ดับบลิวเอชเอ คอร์ปอเรชั่น,2026-05-12,3,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,1071375062,7.17
WHA,ดับบลิวเอชเอ คอร์ปอเรชั่น,2026-05-12,4,นาย นิติ โอสถานุเคราะห์,686810190,4.6
WHA,ดับบลิวเอชเอ คอร์ปอเรชั่น,2026-05-12,5,นาย ชัยวัฒน์ พู่พิสุทธิ์,680290854,4.55
